Trace: 1,,,Trace: 2,,,Trace: 3,,,Trace: 4,,,Trace: 5,,,Trace: 6,,,Trace: 7,,,Trace: 8,,,Trace: 9,,,Trace: 10,,,Trace: 11,,,Trace: 12,,,Trace: 13,,,Trace: 14,,,Trace: 15,,,Trace: 16,
S11,,,S12,,,S13,,,S14,,,S21,,,S22,,,S23,,,S24,,,S31,,,S32,,,S33,,,S34,,,S41,,,S42,,,S43,,,S44,
Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,
Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag
2.16E+08,49.05759,,2.16E+08,51.24072,,2.16E+08,50.16237,,2.16E+08,50.45349,,2.16E+08,50.83005,,2.16E+08,48.36547,,2.16E+08,50.05996,,2.16E+08,49.53059,,2.16E+08,50.12888,,2.16E+08,50.05155,,2.16E+08,49.8728,,2.16E+08,50.18777,,2.16E+08,50.46498,,2.16E+08,49.53029,,2.16E+08,50.18117,,2.16E+08,49.83396
2.56E+08,49.08953,,2.56E+08,51.2151,,2.56E+08,50.15868,,2.56E+08,50.44009,,2.56E+08,50.80776,,2.56E+08,48.38578,,2.56E+08,50.06245,,2.56E+08,49.54512,,2.56E+08,50.12508,,2.56E+08,50.05331,,2.56E+08,49.87943,,2.56E+08,50.18687,,2.56E+08,50.45189,,2.56E+08,49.54423,,2.56E+08,50.1802,,2.56E+08,49.8334
2.96E+08,49.13466,,2.96E+08,51.18828,,2.96E+08,50.15548,,2.96E+08,50.42589,,2.96E+08,50.7846,,2.96E+08,48.41092,,2.96E+08,50.06499,,2.96E+08,49.55993,,2.96E+08,50.12257,,2.96E+08,50.05525,,2.96E+08,49.88146,,2.96E+08,50.18377,,2.96E+08,50.43778,,2.96E+08,49.55855,,2.96E+08,50.17736,,2.96E+08,49.83366
3.36E+08,49.16594,,3.36E+08,51.16166,,3.36E+08,50.15249,,3.36E+08,50.41272,,3.36E+08,50.7623,,3.36E+08,48.43045,,3.36E+08,50.06623,,3.36E+08,49.57516,,3.36E+08,50.12026,,3.36E+08,50.05642,,3.36E+08,49.88512,,3.36E+08,50.17987,,3.36E+08,50.42459,,3.36E+08,49.57354,,3.36E+08,50.17327,,3.36E+08,49.84471
3.76E+08,49.19623,,3.76E+08,51.13367,,3.76E+08,50.14996,,3.76E+08,50.39983,,3.76E+08,50.73828,,3.76E+08,48.4517,,3.76E+08,50.06621,,3.76E+08,49.59002,,3.76E+08,50.11737,,3.76E+08,50.05673,,3.76E+08,49.89583,,3.76E+08,50.17592,,3.76E+08,50.41161,,3.76E+08,49.58833,,3.76E+08,50.16871,,3.76E+08,49.84868
4.16E+08,49.24073,,4.16E+08,51.1042,,4.16E+08,50.14839,,4.16E+08,50.38606,,4.16E+08,50.71162,,4.16E+08,48.48004,,4.16E+08,50.06674,,4.16E+08,49.60461,,4.16E+08,50.11547,,4.16E+08,50.05803,,4.16E+08,49.9043,,4.16E+08,50.1709,,4.16E+08,50.39796,,4.16E+08,49.60305,,4.16E+08,50.16368,,4.16E+08,49.84954
4.56E+08,49.27461,,4.56E+08,51.07505,,4.56E+08,50.14737,,4.56E+08,50.37311,,4.56E+08,50.68482,,4.56E+08,48.50618,,4.56E+08,50.06716,,4.56E+08,49.61968,,4.56E+08,50.11487,,4.56E+08,50.0592,,4.56E+08,49.91084,,4.56E+08,50.16554,,4.56E+08,50.38532,,4.56E+08,49.61799,,4.56E+08,50.15829,,4.56E+08,49.86172
4.96E+08,49.30354,,4.96E+08,51.04519,,4.96E+08,50.14674,,4.96E+08,50.36096,,4.96E+08,50.65763,,4.96E+08,48.53295,,4.96E+08,50.06681,,4.96E+08,49.635,,4.96E+08,50.11421,,4.96E+08,50.05891,,4.96E+08,49.92194,,4.96E+08,50.16033,,4.96E+08,50.3735,,4.96E+08,49.63241,,4.96E+08,50.15248,,4.96E+08,49.86896
5.36E+08,49.35035,,5.36E+08,51.01348,,5.36E+08,50.14686,,5.36E+08,50.34804,,5.36E+08,50.62909,,5.36E+08,48.56633,,5.36E+08,50.06687,,5.36E+08,49.64982,,5.36E+08,50.11403,,5.36E+08,50.05893,,5.36E+08,49.93162,,5.36E+08,50.15386,,5.36E+08,50.36095,,5.36E+08,49.64642,,5.36E+08,50.1459,,5.36E+08,49.86871
5.76E+08,49.3919,,5.76E+08,50.98142,,5.76E+08,50.14716,,5.76E+08,50.33544,,5.76E+08,50.60075,,5.76E+08,48.59662,,5.76E+08,50.06619,,5.76E+08,49.66388,,5.76E+08,50.11539,,5.76E+08,50.05888,,5.76E+08,49.93973,,5.76E+08,50.14662,,5.76E+08,50.34859,,5.76E+08,49.66073,,5.76E+08,50.13898,,5.76E+08,49.88035
