Trace: 1,,,Trace: 2,,,Trace: 3,,,Trace: 4,,,Trace: 5,,,Trace: 6,,,Trace: 7,,,Trace: 8,,,Trace: 9,,,Trace: 10,,,Trace: 11,,,Trace: 12,,,Trace: 13,,,Trace: 14,,,Trace: 15,,,Trace: 16,
S11,,,S12,,,S13,,,S14,,,S21,,,S22,,,S23,,,S24,,,S31,,,S32,,,S33,,,S34,,,S41,,,S42,,,S43,,,S44,
Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,
Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag
2.16E+08,48.99622,,2.16E+08,50.46355,,2.16E+08,49.85556,,2.16E+08,50.49507,,2.16E+08,50.4651,,2.16E+08,49.33741,,2.16E+08,50.32762,,2.16E+08,49.68357,,2.16E+08,49.84731,,2.16E+08,50.32837,,2.16E+08,49.92124,,2.16E+08,50.00735,,2.16E+08,50.50648,,2.16E+08,49.68539,,2.16E+08,49.99426,,2.16E+08,49.81794
2.56E+08,49.02536,,2.56E+08,50.44881,,2.56E+08,49.85492,,2.56E+08,50.47744,,2.56E+08,50.45106,,2.56E+08,49.34927,,2.56E+08,50.32323,,2.56E+08,49.69451,,2.56E+08,49.84702,,2.56E+08,50.32399,,2.56E+08,49.92469,,2.56E+08,50.00812,,2.56E+08,50.4896,,2.56E+08,49.69566,,2.56E+08,49.99525,,2.56E+08,49.81908
2.96E+08,49.06699,,2.96E+08,50.43279,,2.96E+08,49.85454,,2.96E+08,50.45951,,2.96E+08,50.43478,,2.96E+08,49.36388,,2.96E+08,50.31935,,2.96E+08,49.70571,,2.96E+08,49.84722,,2.96E+08,50.32049,,2.96E+08,49.92216,,2.96E+08,50.00796,,2.96E+08,50.47138,,2.96E+08,49.70591,,2.96E+08,49.99495,,2.96E+08,49.82285
3.36E+08,49.09471,,3.36E+08,50.41686,,3.36E+08,49.85464,,3.36E+08,50.44242,,3.36E+08,50.41776,,3.36E+08,49.37108,,3.36E+08,50.31462,,3.36E+08,49.71626,,3.36E+08,49.84719,,3.36E+08,50.31618,,3.36E+08,49.92047,,3.36E+08,50.00664,,3.36E+08,50.45357,,3.36E+08,49.7161,,3.36E+08,49.99336,,3.36E+08,49.83912
3.76E+08,49.12185,,3.76E+08,50.39926,,3.76E+08,49.85558,,3.76E+08,50.42457,,3.76E+08,50.39975,,3.76E+08,49.38095,,3.76E+08,50.30915,,3.76E+08,49.72582,,3.76E+08,49.84759,,3.76E+08,50.31019,,3.76E+08,49.92642,,3.76E+08,50.00422,,3.76E+08,50.43637,,3.76E+08,49.72548,,3.76E+08,49.99061,,3.76E+08,49.84754
4.16E+08,49.16363,,4.16E+08,50.38007,,4.16E+08,49.85757,,4.16E+08,50.40546,,4.16E+08,50.38134,,4.16E+08,49.40018,,4.16E+08,50.30427,,4.16E+08,49.73552,,4.16E+08,49.84955,,4.16E+08,50.30435,,4.16E+08,49.93185,,4.16E+08,50.00083,,4.16E+08,50.41894,,4.16E+08,49.73468,,4.16E+08,49.98656,,4.16E+08,49.85146
4.56E+08,49.19413,,4.56E+08,50.36168,,4.56E+08,49.85986,,4.56E+08,50.3876,,4.56E+08,50.36387,,4.56E+08,49.41708,,4.56E+08,50.29848,,4.56E+08,49.74588,,4.56E+08,49.85227,,4.56E+08,50.29825,,4.56E+08,49.9364,,4.56E+08,49.99733,,4.56E+08,50.4018,,4.56E+08,49.74447,,4.56E+08,49.98212,,4.56E+08,49.86654
4.96E+08,49.21826,,4.96E+08,50.34278,,4.96E+08,49.86198,,4.96E+08,50.37076,,4.96E+08,50.34491,,4.96E+08,49.43231,,4.96E+08,50.29101,,4.96E+08,49.75588,,4.96E+08,49.85447,,4.96E+08,50.29092,,4.96E+08,49.94484,,4.96E+08,49.99348,,4.96E+08,50.38443,,4.96E+08,49.75396,,4.96E+08,49.97771,,4.96E+08,49.87709
5.36E+08,49.26026,,5.36E+08,50.32174,,5.36E+08,49.86486,,5.36E+08,50.35305,,5.36E+08,50.32288,,5.36E+08,49.45359,,5.36E+08,50.28385,,5.36E+08,49.76546,,5.36E+08,49.85655,,5.36E+08,50.28396,,5.36E+08,49.9509,,5.36E+08,49.98793,,5.36E+08,50.36648,,5.36E+08,49.76285,,5.36E+08,49.97266,,5.36E+08,49.88114
5.76E+08,49.29845,,5.76E+08,50.30034,,5.76E+08,49.86901,,5.76E+08,50.3357,,5.76E+08,50.30099,,5.76E+08,49.47389,,5.76E+08,50.27672,,5.76E+08,49.77554,,5.76E+08,49.85939,,5.76E+08,50.2774,,5.76E+08,49.95543,,5.76E+08,49.98135,,5.76E+08,50.34969,,5.76E+08,49.77204,,5.76E+08,49.96739,,5.76E+08,49.89811
6.16E+08,49.32503,,6.16E+08,50.27855,,6.16E+08,49.87368,,6.16E+08,50.3192,,6.16E+08,50.28029,,6.16E+08,49.49247,,6.16E+08,50.26878,,6.16E+08,49.7859,,6.16E+08,49.86363,,6.16E+08,50.26956,,6.16E+08,49.96575,,6.16E+08,49.97556,,6.16E+08,50.33356,,6.16E+08,49.78154,,6.16E+08,49.96239,,6.16E+08,49.9147
6.56E+08,49.36655,,6.56E+08,50.25488,,6.56E+08,49.87856,,6.56E+08,50.30209,,6.56E+08,50.25828,,6.56E+08,49.5168,,6.56E+08,50.26184,,6.56E+08,49.79588,,6.56E+08,49.86994,,6.56E+08,50.26127,,6.56E+08,49.97405,,6.56E+08,49.97066,,6.56E+08,50.31604,,6.56E+08,49.79106,,6.56E+08,49.95673,,6.56E+08,49.9183
6.96E+08,49.40938,,6.96E+08,50.23114,,6.96E+08,49.88384,,6.96E+08,50.28511,,6.96E+08,50.23498,,6.96E+08,49.54062,,6.96E+08,50.2554,,6.96E+08,49.80551,,6.96E+08,49.87702,,6.96E+08,50.25315,,6.96E+08,49.97588,,6.96E+08,49.96631,,6.96E+08,50.2986,,6.96E+08,49.80087,,6.96E+08,49.95095,,6.96E+08,49.92938
7.36E+08,49.4366,,7.36E+08,50.20837,,7.36E+08,49.88935,,7.36E+08,50.26864,,7.36E+08,50.21153,,7.36E+08,49.5616,,7.36E+08,50.24697,,7.36E+08,49.81481,,7.36E+08,49.88266,,7.36E+08,50.24402,,7.36E+08,49.98173,,7.36E+08,49.96249,,7.36E+08,50.28251,,7.36E+08,49.81049,,7.36E+08,49.94694,,7.36E+08,49.94528
7.76E+08,49.47481,,7.76E+08,50.18478,,7.76E+08,49.89529,,7.76E+08,50.25117,,7.76E+08,50.18761,,7.76E+08,49.58873,,7.76E+08,50.23765,,7.76E+08,49.82412,,7.76E+08,49.88755,,7.76E+08,50.23465,,7.76E+08,49.9905,,7.76E+08,49.95835,,7.76E+08,50.26591,,7.76E+08,49.8195,,7.76E+08,49.94414,,7.76E+08,49.94887
8.17E+08,49.52042,,8.17E+08,50.16082,,8.17E+08,49.902,,8.17E+08,50.23406,,8.17E+08,50.16391,,8.17E+08,49.61592,,8.17E+08,50.22843,,8.17E+08,49.83401,,8.17E+08,49.89369,,8.17E+08,50.22567,,8.17E+08,49.99545,,8.17E+08,49.95402,,8.17E+08,50.24902,,8.17E+08,49.82882,,8.17E+08,49.94119,,8.17E+08,49.95638
8.57E+08,49.54796,,8.57E+08,50.13738,,8.57E+08,49.909,,8.57E+08,50.2189,,8.57E+08,50.1407,,8.57E+08,49.63651,,8.57E+08,50.2178,,8.57E+08,49.84394,,8.57E+08,49.90079,,8.57E+08,50.21517,,8.57E+08,50.00395,,8.57E+08,49.9512,,8.57E+08,50.23338,,8.57E+08,49.83859,,8.57E+08,49.93857,,8.57E+08,49.97208
